Farsight Explorer
Demoralise
Lost In The Depths
Three's a Crowd
Read The Leaves
Hall of Mirrors
Grass Roots
Fusing Fleshspawn
Respected Jarl
Devout Cleric
Compost Charm
Clone
Dwarven Smiths
Sulphuric Rain
Daemonic Offering
Influential Incubus
Golden Harpe
Proud Conscriptor
Identity Thief
Synergy Golem
FIll the Coffers
Boost Walker
Red Fume Dash
Faustian Pact
Seraph
Expectant Chicken
Scythes of the Harvest
Equivalent Exchange
Highborn Knight
Amplification Machine
Scarab Swarm
Labyrinth Minotaur
Death Masque
Kidnapper
Nullmaw
The Black Argo
Wizened Warlock
Crush Construct
Gloam Druid
Balance Summoner
Bucking Bronco
Ashen Drake
Sign of Avarice
Tormentor Fiend
Furies
Hooded Doppelganger
Bulwark of the Sky
Demogorgon
Photogenesis
Archimedes Mirror
Wrath Zealot
Ocular Fiend
Apocalypse, Now!
Specialist Force
Dire Demilich
Deathwish Thanetar
Leyline Djiin
