Name Rarity Normal Shadow Gold Diamond
"Catacomb Curator" Rare 1286.0 77.0 10.0 1.0
"Gloam Druid" Epic 462.0 29.0 5.0 1.0
Sanctify Common 3551.0 179.0 52.0 7.0
Charm Rare 1270.0 67.0 12.0 3.0
"Healing Insight" Common 3466.0 169.0 41.0 4.0
"Respected Jarl" Epic 481.0 23.0 12.0 0.0
"Faustian Pact" Epic 486.0 26.0 4.0 2.0
Mimicus Legendary 453.0 41.0 12.0 0.0
Levitate Common 3579.0 187.0 33.0 3.0
"Mountain Greatwyrm" Rare 1200.0 76.0 16.0 1.0
"Dimension Looper" Common 3532.0 183.0 31.0 8.0
"Osiris, the Eternal" Legendary 471.0 37.0 1.0 3.0
"Anubis, Guide of Souls" Legendary 470.0 40.0 7.0 0.0
"Portal Wrangler" Common 3670.0 214.0 37.0 7.0
"Midnight Cat" Common 3460.0 199.0 33.0 6.0
"Odin, Endless War" Legendary 477.0 44.0 12.0 0.0
"Valkyrie Heartsworn" Common 3466.0 170.0 38.0 10.0
"Ashen Drake" Epic 503.0 27.0 5.0 1.0
"Apate Conspirator" Rare 1231.0 62.0 18.0 3.0
"Hephaestus, The Enchanter" Legendary 414.0 35.0 8.0 0.0
"Radiant Guardian" Common 3516.0 177.0 36.0 7.0
Photogenesis Epic 499.0 36.0 4.0 2.0
"Spellwrought Angel" Common 3587.0 190.0 42.0 10.0
"Sentinel Princess" Common 3527.0 184.0 40.0 2.0
"Foolhardy Berserker" Common 3545.0 189.0 46.0 5.0
"Rolling Watcher" Common 3564.0 178.0 42.0 14.0
"Natural Selection" Rare 1270.0 54.0 8.0 7.0
"Spiral Golem" Rare 1271.0 65.0 18.0 2.0
"Hurl Weapon" Common 3525.0 177.0 42.0 5.0
"Arrest Warrant" Common 3469.0 181.0 42.0 13.0
"Ruins Explorer" Rare 1230.0 75.0 13.0 1.0
"Pocket Channeler" Common 3615.0 179.0 33.0 10.0
"Dread Pirate" Common 3532.0 206.0 38.0 9.0
"Simple Satyr" Common 3653.0 192.0 26.0 6.0
"Unnatural Binding" Rare 1285.0 59.0 7.0 1.0
"Felid Tracker" Common 3529.0 185.0 43.0 8.0
"Untold Greed" Rare 1252.0 55.0 10.0 4.0
"Sacred Lore" Rare 1282.0 69.0 11.0 3.0
"Ignean Roulette" Common 3566.0 188.0 30.0 6.0
"The Black Argo" Epic 451.0 27.0 2.0 1.0
"Anputian Magus" Rare 1245.0 61.0 10.0 2.0
"Rebirth Planetar" Common 3519.0 203.0 44.0 13.0
"Farsight Explorer" Epic 487.0 28.0 9.0 0.0
"Dire Demilich" Epic 485.0 32.0 4.0 0.0
"Scarab Swarm" Epic 494.0 34.0 4.0 0.0
"Boost Walker" Epic 475.0 19.0 3.0 2.0
"Pharaoh's Body-Double" Common 3517.0 178.0 34.0 10.0
"Swelling Boon" Common 3577.0 176.0 44.0 11.0
Nullmaw Epic 493.0 29.0 2.0 0.0
"Expectant Chicken" Epic 463.0 22.0 7.0 1.0
Pallbearer Rare 1266.0 65.0 21.0 4.0
Spellbound Common 3585.0 183.0 43.0 10.0
"Deathdealt Netherine" Rare 1193.0 63.0 15.0 2.0
Uproot Common 3525.0 178.0 38.0 9.0
"Avatar of Light" Legendary 466.0 20.0 7.0 2.0
Pickpocket Common 3545.0 182.0 22.0 6.0
"Balance Ethereals" Rare 1221.0 77.0 8.0 3.0
"Golem Centurion" Rare 1305.0 54.0 15.0 3.0
"Petard Elder" Rare 1210.0 59.0 17.0 6.0
"Malfunctioning Servitor" Rare 1221.0 67.0 14.0 1.0
"Greed Banestrider" Rare 1213.0 58.0 13.0 4.0
Ragnarok Rare 1229.0 74.0 12.0 3.0
"Scythes of the Harvest" Epic 440.0 29.0 7.0 1.0
"Golem Excavator" Rare 1204.0 61.0 8.0 1.0
Recursion Common 3513.0 208.0 37.0 8.0
"Fickle Toupee" Legendary 437.0 38.0 10.0 2.0
"Set Oshi" Legendary 478.0 42.0 5.0 1.0
"Enraged Ally" Rare 1198.0 72.0 19.0 1.0
"Annoying Combatant" Common 3575.0 198.0 27.0 5.0
"Hunger Daemon" Rare 1222.0 73.0 12.0 0.0
Overclock Common 3621.0 207.0 39.0 10.0
"Inflammable Imbecile" Common 3587.0 200.0 37.0 4.0
"Light, Ascended" Legendary 449.0 42.0 11.0 4.0
"Death, Unborn" Legendary 465.0 31.0 8.0 1.0
"Arcane Transcendent" Common 3461.0 171.0 40.0 12.0
Nethergram Rare 1257.0 69.0 20.0 3.0
"Siren of the Grave" Rare 1237.0 58.0 20.0 3.0
"Amazon Hearteater" Rare 1225.0 58.0 17.0 3.0
"Influential Incubus" Epic 434.0 31.0 6.0 1.0
"Half Life" Rare 1286.0 73.0 24.0 1.0
"Ancient Curse" Common 3510.0 201.0 37.0 8.0
"Broken Harvester" Rare 1222.0 79.0 32.0 4.0
"Eternal Servant" Common 3648.0 191.0 36.0 2.0
"Nether Nanny" Common 3561.0 173.0 51.0 6.0
"Gleeful Pillager" Common 3553.0 167.0 46.0 5.0
"Read The Leaves" Epic 478.0 22.0 5.0 0.0
"Amplification Machine" Epic 470.0 31.0 8.0 1.0
"Shady Merchant" Common 3552.0 182.0 40.0 6.0
"Lupine Elemental" Common 3405.0 184.0 35.0 2.0
"Synergy Golem" Epic 477.0 20.0 8.0 1.0
"Magic Inks" Rare 1258.0 72.0 6.0 1.0
"Runic Familiar" Common 3577.0 163.0 27.0 10.0
"Hall of Mirrors" Epic 499.0 35.0 4.0 0.0
Demogorgon Epic 504.0 30.0 6.0 2.0
"That Which Aches" Legendary 456.0 45.0 7.0 1.0
"Blade Trader Drosis" Legendary 472.0 36.0 8.0 0.0
"Glass Cannon" Legendary 458.0 32.0 10.0 0.0
"The Sky Reaver" Legendary 472.0 32.0 7.0 1.0
"Hades, Underworld Lord" Legendary 489.0 45.0 8.0 2.0
"Hercules, Son of Zeus" Legendary 442.0 43.0 13.0 2.0
"Heka's Enchantress" Common 3501.0 170.0 31.0 3.0
"Me Two Three" Common 3569.0 178.0 35.0 9.0
"Shadow Prince" Legendary 474.0 37.0 11.0 2.0
"Raze Imp" Common 3615.0 178.0 32.0 5.0
